rank,lemma,PoS,freq,perMil,%caps,%allC,range,disp,blog,web,TVM,spok,fic,mag,news,acad,blogPM,webPM,TVMPM,spokPM,ficPM,magPM,newsPM,acadPM
5030,surrounding,j,11942,12.03,0.01,0.00,9848,0.95,1337,1448,302,540,1271,2666,1788,2590,10.76,11.26,2.36,4.28,10.74,21.14,14.69,21.62
5031,vocabulary,n,11941,12.02,0.07,0.01,5476,0.74,853,1083,290,383,824,946,537,7025,6.86,8.42,2.26,3.04,6.96,7.50,4.41,58.64
5032,ashamed,j,11937,12.02,0.03,0.01,9011,0.96,1861,1805,2512,1182,2747,826,678,326,14.98,14.03,19.61,9.37,23.22,6.55,5.57,2.72
5033,eh,u,11934,12.02,0.37,0.07,7176,0.92,1269,870,6501,278,2011,247,109,649,10.21,6.76,50.76,2.20,17.00,1.96,0.90,5.42
5034,radar,n,11932,12.02,0.08,0.01,7474,0.96,1293,1297,1356,1617,1283,2755,1751,580,10.41,10.08,10.59,12.82,10.84,21.85,14.38,4.84
5035,stunning,j,11930,12.01,0.04,0.01,10213,0.96,1596,1702,761,1999,916,2517,1935,504,12.84,13.23,5.94,15.85,7.74,19.96,15.89,4.21
5036,murderer,n,11928,12.01,0.08,0.01,7598,0.97,1172,1336,3374,2033,1780,722,1000,511,9.43,10.39,26.34,16.12,15.04,5.73,8.21,4.27
5037,burger,n,11920,12.00,0.34,0.02,6197,0.96,1252,974,2431,1159,1115,2173,2374,442,10.08,7.57,18.98,9.19,9.42,17.23,19.50,3.69
5038,collar,n,11916,12.00,0.04,0.01,7817,0.92,943,940,1621,777,4447,1763,771,654,7.59,7.31,12.66,6.16,37.58,13.98,6.33,5.46
5039,align,v,11912,12.00,0.03,0.00,8606,0.92,1773,1981,401,616,516,2005,1017,3603,14.27,15.40,3.13,4.88,4.36,15.90,8.35,30.08
5040,textbook,n,11905,11.99,0.05,0.00,6767,0.91,1394,1648,512,655,802,1259,1256,4379,11.22,12.81,4.00,5.19,6.78,9.98,10.32,36.56
5041,sensation,n,11903,11.99,0.04,0.00,8372,0.95,841,1504,675,834,3150,2261,987,1651,6.77,11.69,5.27,6.61,26.62,17.93,8.11,13.78
5042,afterward,r,11893,11.98,0.25,0.00,9977,0.93,863,1257,195,409,3306,2716,2473,674,6.95,9.77,1.52,3.24,27.94,21.54,20.31,5.63
5043,charm,n,11889,11.97,0.08,0.01,9257,0.97,1180,1426,1776,803,2159,2260,1686,599,9.50,11.09,13.87,6.37,18.25,17.92,13.85,5.00
5044,sunny,j,11889,11.97,0.29,0.02,8258,0.94,1016,1102,1288,1137,2853,2527,1640,326,8.18,8.57,10.06,9.01,24.11,20.04,13.47,2.72
5045,hammer,n,11886,11.97,0.34,0.05,6776,0.92,1025,1153,1715,1413,2961,1720,1267,632,8.25,8.96,13.39,11.20,25.02,13.64,10.41,5.28
5046,keyboard,n,11885,11.97,0.05,0.00,5580,0.92,2464,2476,314,472,1272,2702,805,1380,19.83,19.25,2.45,3.74,10.75,21.43,6.61,11.52
5047,persist,v,11880,11.96,0.01,0.00,9554,0.94,1181,1620,170,541,1302,2008,1198,3860,9.50,12.60,1.33,4.29,11.00,15.92,9.84,32.22
5048,wheat,n,11877,11.96,0.15,0.01,5843,0.94,1287,1450,608,640,1294,2891,1952,1755,10.36,11.27,4.75,5.07,10.94,22.93,16.03,14.65
5049,predator,n,11876,11.96,0.14,0.01,6042,0.94,1166,1138,1041,1330,994,3205,1242,1760,9.38,8.85,8.13,10.54,8.40,25.42,10.20,14.69
5050,bizarre,j,11875,11.96,0.04,0.01,9737,0.97,1794,1639,1083,2336,1335,1795,1253,640,14.44,12.74,8.46,18.52,11.28,14.24,10.29,5.34
